backend,qubit,datetime,name,units,value,log_datetime
ibmq_16_melbourne,13,2020-10-11T09:53:48+00:00,frequency,GHz,4.974264170125841,2020-10-12T10:43:28.999536
ibmq_16_melbourne,13,2020-10-11T09:53:48+00:00,anharmonicity,GHz,0,2020-10-12T10:43:28.999536
ibmq_16_melbourne,13,2020-10-11T04:29:24+00:00,readout_error,,0.0794999999999999,2020-10-12T10:43:28.999536
ibmq_16_melbourne,13,2020-10-11T04:29:24+00:00,prob_meas0_prep1,,0.11219999999999997,2020-10-12T10:43:28.999536
ibmq_16_melbourne,13,2020-10-11T04:29:24+00:00,prob_meas1_prep0,,0.0468,2020-10-12T10:43:28.999536
ibmq_16_melbourne,13,2020-10-11T09:53:48+00:00,id_length,ns,142.22222222222223,2020-10-12T10:43:28.999536
ibmq_16_melbourne,14,2020-10-11T04:30:01+00:00,T1,us,19.007605672078228,2020-10-12T10:43:28.999536
ibmq_16_melbourne,14,2020-10-11T04:32:25+00:00,T2,us,27.73852789690807,2020-10-12T10:43:28.999536
ibmq_16_melbourne,14,2020-10-11T09:53:48+00:00,frequency,GHz,5.0067818703522615,2020-10-12T10:43:28.999536
ibmq_16_melbourne,14,2020-10-11T09:53:48+00:00,anharmonicity,GHz,0,2020-10-12T10:43:28.999536
ibmq_16_melbourne,14,2020-10-11T04:29:24+00:00,readout_error,,0.06810000000000005,2020-10-12T10:43:28.999536
ibmq_16_melbourne,14,2020-10-11T04:29:24+00:00,prob_meas0_prep1,,0.11299999999999999,2020-10-12T10:43:28.999536
ibmq_16_melbourne,14,2020-10-11T04:29:24+00:00,prob_meas1_prep0,,0.0232,2020-10-12T10:43:28.999536
ibmq_16_melbourne,14,2020-10-11T09:53:48+00:00,id_length,ns,53.33333333333333,2020-10-12T10:43:28.999536
ibmq_vigo,0,2020-10-12T06:06:57+00:00,T1,us,93.4601960204928,2020-10-12T10:43:28.999536
ibmq_vigo,0,2020-10-06T06:09:27+00:00,T2,us,16.52662928895186,2020-10-12T10:43:28.999536
ibmq_vigo,0,2020-10-12T06:27:41+00:00,frequency,GHz,4.796561791875658,2020-10-12T10:43:28.999536
ibmq_vigo,0,2020-10-12T06:27:41+00:00,anharmonicity,GHz,-0.3115692205922553,2020-10-12T10:43:28.999536
ibmq_vigo,0,2020-10-12T06:06:10+00:00,readout_error,,0.018299999999999983,2020-10-12T10:43:28.999536
ibmq_vigo,0,2020-10-12T06:06:10+00:00,prob_meas0_prep1,,0.025599999999999956,2020-10-12T10:43:28.999536
ibmq_vigo,0,2020-10-12T06:06:10+00:00,prob_meas1_prep0,,0.011,2020-10-12T10:43:28.999536
ibmq_vigo,0,2020-10-12T06:27:41+00:00,id_length,ns,35.55555555555556,2020-10-12T10:43:28.999536
ibmq_vigo,1,2020-10-12T06:06:57+00:00,T1,us,118.32524964042436,2020-10-12T10:43:28.999536
ibmq_vigo,1,2020-10-12T06:08:04+00:00,T2,us,146.878106458534,2020-10-12T10:43:28.999536
ibmq_vigo,1,2020-10-12T06:27:41+00:00,frequency,GHz,4.9401295425366865,2020-10-12T10:43:28.999536
ibmq_vigo,1,2020-10-12T06:27:41+00:00,anharmonicity,GHz,-0.30543161039483363,2020-10-12T10:43:28.999536
ibmq_vigo,1,2020-10-12T06:06:10+00:00,readout_error,,0.017800000000000038,2020-10-12T10:43:28.999536
ibmq_vigo,1,2020-10-12T06:06:10+00:00,prob_meas0_prep1,,0.0262,2020-10-12T10:43:28.999536
ibmq_vigo,1,2020-10-12T06:06:10+00:00,prob_meas1_prep0,,0.0094,2020-10-12T10:43:28.999536
ibmq_vigo,1,2020-10-12T06:27:41+00:00,id_length,ns,35.55555555555556,2020-10-12T10:43:28.999536
ibmq_vigo,2,2020-10-12T06:06:57+00:00,T1,us,84.56030535636881,2020-10-12T10:43:28.999536
ibmq_vigo,2,2020-10-12T06:07:32+00:00,T2,us,92.99893548365075,2020-10-12T10:43:28.999536
ibmq_vigo,2,2020-10-12T06:27:41+00:00,frequency,GHz,4.833509909338347,2020-10-12T10:43:28.999536
ibmq_vigo,2,2020-10-12T06:27:41+00:00,anharmonicity,GHz,-0.3102935629600691,2020-10-12T10:43:28.999536
ibmq_vigo,2,2020-10-12T06:06:10+00:00,readout_error,,0.016700000000000048,2020-10-12T10:43:28.999536
ibmq_vigo,2,2020-10-12T06:06:10+00:00,prob_meas0_prep1,,0.022800000000000042,2020-10-12T10:43:28.999536
ibmq_vigo,2,2020-10-12T06:06:10+00:00,prob_meas1_prep0,,0.0106,2020-10-12T10:43:28.999536
ibmq_vigo,2,2020-10-12T06:27:41+00:00,id_length,ns,35.55555555555556,2020-10-12T10:43:28.999536
ibmq_vigo,3,2020-10-12T06:06:57+00:00,T1,us,110.53462908143996,2020-10-12T10:43:28.999536
ibmq_vigo,3,2020-10-12T06:07:32+00:00,T2,us,104.45461815111983,2020-10-12T10:43:28.999536
ibmq_vigo,3,2020-10-12T06:27:41+00:00,frequency,GHz,4.807957708788199,2020-10-12T10:43:28.999536
ibmq_vigo,3,2020-10-12T06:27:41+00:00,anharmonicity,GHz,-0.3106927608212116,2020-10-12T10:43:28.999536
ibmq_vigo,3,2020-10-12T06:06:10+00:00,readout_error,,0.027000000000000024,2020-10-12T10:43:28.999536
ibmq_vigo,3,2020-10-12T06:06:10+00:00,prob_meas0_prep1,,0.03620000000000001,2020-10-12T10:43:28.999536
ibmq_vigo,3,2020-10-12T06:06:10+00:00,prob_meas1_prep0,,0.0178,2020-10-12T10:43:28.999536
ibmq_vigo,3,2020-10-12T06:27:41+00:00,id_length,ns,35.55555555555556,2020-10-12T10:43:28.999536
ibmq_vigo,4,2020-10-12T06:06:57+00:00,T1,us,103.68926775564034,2020-10-12T10:43:28.999536
ibmq_vigo,4,2020-10-11T06:18:09+00:00,T2,us,48.441121690580424,2020-10-12T10:43:28.999536
ibmq_vigo,4,2020-10-12T06:27:41+00:00,frequency,GHz,4.749670637760249,2020-10-12T10:43:28.999536
ibmq_vigo,4,2020-10-12T06:27:41+00:00,anharmonicity,GHz,-0.31229624001394773,2020-10-12T10:43:28.999536
ibmq_vigo,4,2020-10-12T06:06:10+00:00,readout_error,,0.020100000000000007,2020-10-12T10:43:28.999536
ibmq_vigo,4,2020-10-12T06:06:10+00:00,prob_meas0_prep1,,0.027599999999999958,2020-10-12T10:43:28.999536
ibmq_vigo,4,2020-10-12T06:06:10+00:00,prob_meas1_prep0,,0.0126,2020-10-12T10:43:28.999536
ibmq_vigo,4,2020-10-12T06:27:41+00:00,id_length,ns,35.55555555555556,2020-10-12T10:43:28.999536
ibmq_ourense,0,2020-10-12T07:06:32+00:00,T1,us,125.04935944967399,2020-10-12T10:43:28.999536
ibmq_ourense,0,2020-10-12T07:07:04+00:00,T2,us,79.90535609108441,2020-10-12T10:43:28.999536
ibmq_ourense,0,2020-10-12T07:26:04+00:00,frequency,GHz,4.820295916409024,2020-10-12T10:43:28.999536
ibmq_ourense,0,2020-10-12T07:26:04+00:00,anharmonicity,GHz,-0.3109489112815027,2020-10-12T10:43:28.999536
ibmq_ourense,0,2020-10-12T07:06:09+00:00,readout_error,,0.015700000000000047,2020-10-12T10:43:28.999536
ibmq_ourense,0,2020-10-12T07:06:09+00:00,prob_meas0_prep1,,0.02059999999999995,2020-10-12T10:43:28.999536
ibmq_ourense,0,2020-10-12T07:06:09+00:00,prob_meas1_prep0,,0.0108,2020-10-12T10:43:28.999536
ibmq_ourense,0,2020-10-12T07:26:04+00:00,id_length,ns,35.55555555555556,2020-10-12T10:43:28.999536
